,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred__115,10.11,0.5726255320888172,0.0563826214360418,10.0,12.0,,1.202829177213726
y_pred__116,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__117,10.115,0.31902194281898494,0.0315079355083763,10.0,11.0,,1.109195018403065
y_pred__118,10.0,0.0,0.0,10.0,10.0,,
y_pred__119,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__120,9.81,0.5512712580935095,0.05421254467371921,8.0,10.0,,1.1474967400707097
y_pred__121,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__122,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__123,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__124,10.0,0.0,0.0,10.0,10.0,,
y_pred__125,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__126,10.115,0.31902194281898494,0.0315079355083763,10.0,11.0,,1.109195018403065
y_pred__127,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__128,10.0,0.0,0.0,10.0,10.0,,
y_pred__129,10.0,0.0,0.0,10.0,10.0,,
y_pred__130,10.115,0.31902194281898494,0.0315079355083763,10.0,11.0,,1.109195018403065
y_pred__131,10.08,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__132,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__133,9.995,0.4847421995246548,0.04821566135603659,10.0,11.0,,1.1530544264835845
y_pred__134,9.85,0.5267826876426355,0.051720402163943004,8.0,10.0,,1.1892374507581376
y_pred__135,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__136,10.08,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__137,10.07,0.6746109990209183,0.0667158152164837,10.0,12.0,,1.1892374507581376
y_pred__138,9.815,0.8250909040826947,0.0811341481744894,7.0,10.0,,1.2023243641814005
y_pred__139,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__140,10.07,0.6746109990209183,0.0667158152164837,10.0,12.0,,1.1892374507581376
y_pred__141,9.93,0.6746109990209183,0.0667158152164837,8.0,10.0,,1.1892374507581376
y_pred__142,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__143,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__144,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__145,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__146,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__147,9.92,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__148,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__149,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__150,10.0,0.0,0.0,10.0,10.0,,
y_pred__151,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__152,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__153,10.0,0.0,0.0,10.0,10.0,,
y_pred__154,10.115,0.31902194281898494,0.0315079355083763,10.0,11.0,,1.109195018403065
y_pred__155,9.85,0.5267826876426355,0.051720402163943004,8.0,10.0,,1.1892374507581376
y_pred__156,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__157,9.85,0.5267826876426355,0.051720402163943004,8.0,10.0,,1.1892374507581376
y_pred__158,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__159,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__160,10.0,0.0,0.0,10.0,10.0,,
y_pred__161,10.225,0.790174031463955,0.07758060324591451,10.0,13.0,,1.189237450758138
y_pred__162,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__163,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__164,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__165,10.0,0.0,0.0,10.0,10.0,,
y_pred__166,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__167,10.08,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__168,10.005,0.4847421995246548,0.04821566135603659,9.0,10.0,,1.1530544264835845
y_pred__169,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__170,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__171,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__172,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__173,10.0,0.0,0.0,10.0,10.0,,
y_pred__174,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__175,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__176,10.19,0.5512712580935095,0.05421254467371921,10.0,12.0,,1.1474967400707097
y_pred__177,10.115,0.31902194281898494,0.0315079355083763,10.0,11.0,,1.109195018403065
y_pred__178,9.885,0.31902194281898494,0.0315079355083763,9.0,10.0,,1.109195018403065
y_pred__179,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__180,9.885,0.31902194281898494,0.0315079355083763,9.0,10.0,,1.109195018403065
y_pred__181,9.85,0.5267826876426355,0.051720402163943004,8.0,10.0,,1.1892374507581376
y_pred__182,10.27,0.7662245101796218,0.07596709814123478,10.0,12.0,,1.0873985456996416
y_pred__183,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__184,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__185,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__186,9.92,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__187,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__188,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__189,9.81,0.5512712580935095,0.05421254467371921,8.0,10.0,,1.1474967400707097
y_pred__190,10.11,0.5726255320888172,0.0563826214360418,10.0,12.0,,1.202829177213726
y_pred__191,10.115,0.31902194281898494,0.0315079355083763,10.0,11.0,,1.109195018403065
y_pred__192,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__193,10.115,0.31902194281898494,0.0315079355083763,10.0,11.0,,1.109195018403065
y_pred__194,10.0,0.0,0.0,10.0,10.0,,
y_pred__195,10.0,0.0,0.0,10.0,10.0,,
y_pred__196,9.85,0.5267826876426355,0.051720402163943004,8.0,10.0,,1.1892374507581376
y_pred__197,9.885,0.31902194281898494,0.0315079355083763,9.0,10.0,,1.109195018403065
y_pred__198,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__199,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__200,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__201,10.0,0.0,0.0,10.0,10.0,,
y_pred__202,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__203,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__204,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__205,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__206,10.0,0.0,0.0,10.0,10.0,,
y_pred__207,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__208,9.92,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__209,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__210,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__211,10.0,0.0,0.0,10.0,10.0,,
y_pred__212,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__213,10.0,0.0,0.0,10.0,10.0,,
y_pred__214,10.0,0.0,0.0,10.0,10.0,,
y_pred__215,9.845,0.4593201497866164,0.04565906262725945,9.0,10.0,,1.0770478646414616
y_pred__216,10.115,0.31902194281898494,0.0315079355083763,10.0,11.0,,1.109195018403065
y_pred__217,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__218,10.0,0.0,0.0,10.0,10.0,,
y_pred__219,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__220,10.265,0.8029788291107047,0.0788844091059824,10.0,13.0,,1.1626217740300264
y_pred__221,9.885,0.31902194281898494,0.0315079355083763,9.0,10.0,,1.109195018403065
y_pred__222,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__223,9.885,0.31902194281898494,0.0315079355083763,9.0,10.0,,1.109195018403065
y_pred__224,10.0,0.0,0.0,10.0,10.0,,
y_pred__225,10.195,0.630059520997818,0.06280724480503821,10.0,11.0,,1.070743652593324
y_pred__226,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__227,10.15,0.5267826876426355,0.051720402163943004,10.0,12.0,,1.1892374507581376
y_pred__228,9.92,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__229,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__230,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__231,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__232,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__233,10.15,0.5267826876426355,0.051720402163943004,10.0,12.0,,1.1892374507581376
y_pred__234,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__235,9.92,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__236,10.0,0.0,0.0,10.0,10.0,,
y_pred__237,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__238,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__239,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__240,10.0,0.0,0.0,10.0,10.0,,
y_pred__241,9.995,0.4847421995246548,0.04821566135603659,10.0,11.0,,1.1530544264835845
y_pred__242,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__243,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__244,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__245,9.89,0.5726255320888172,0.0563826214360418,8.0,10.0,,1.202829177213726
y_pred__246,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__247,10.0,0.0,0.0,10.0,10.0,,
y_pred__248,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__249,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__250,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__251,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__252,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__253,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__254,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__255,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__256,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__257,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__258,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__259,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__260,10.0,0.0,0.0,10.0,10.0,,
y_pred__261,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__262,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__263,10.115,0.31902194281898494,0.0315079355083763,10.0,11.0,,1.109195018403065
y_pred__264,9.89,0.5726255320888172,0.0563826214360418,8.0,10.0,,1.202829177213726
y_pred__265,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__266,9.845,0.4593201497866164,0.04565906262725945,9.0,10.0,,1.0770478646414616
y_pred__267,10.0,0.0,0.0,10.0,10.0,,
y_pred__268,9.81,0.5512712580935095,0.05421254467371921,8.0,10.0,,1.1474967400707097
y_pred__269,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__270,10.0,0.0,0.0,10.0,10.0,,
y_pred__271,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__272,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__273,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__274,9.81,0.5512712580935095,0.05421254467371921,8.0,10.0,,1.1474967400707097
y_pred__275,9.885,0.31902194281898494,0.0315079355083763,9.0,10.0,,1.109195018403065
y_pred__276,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__277,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__278,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__279,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__280,9.93,0.6746109990209183,0.0667158152164837,8.0,10.0,,1.1892374507581376
y_pred__281,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__282,10.115,0.31902194281898494,0.0315079355083763,10.0,11.0,,1.109195018403065
y_pred__283,10.0,0.0,0.0,10.0,10.0,,
y_pred__284,10.115,0.31902194281898494,0.0315079355083763,10.0,11.0,,1.109195018403065
y_pred__285,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__286,10.0,0.0,0.0,10.0,10.0,,
y_pred__287,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__288,10.0,0.0,0.0,10.0,10.0,,
y_pred__289,9.885,0.31902194281898494,0.0315079355083763,9.0,10.0,,1.109195018403065
y_pred__290,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__291,10.08,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__292,10.0,0.0,0.0,10.0,10.0,,
y_pred__293,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__294,9.92,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__295,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__296,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__297,10.0,0.0,0.0,10.0,10.0,,
y_pred__298,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__299,9.92,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__300,10.0,0.0,0.0,10.0,10.0,,
y_pred__301,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__302,9.85,0.5267826876426355,0.051720402163943004,8.0,10.0,,1.1892374507581376
y_pred__303,9.885,0.31902194281898494,0.0315079355083763,9.0,10.0,,1.109195018403065
y_pred__304,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__305,9.81,0.5512712580935095,0.05421254467371921,8.0,10.0,,1.1474967400707097
y_pred__306,10.115,0.31902194281898494,0.0315079355083763,10.0,11.0,,1.109195018403065
y_pred__307,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__308,9.89,0.5726255320888172,0.0563826214360418,8.0,10.0,,1.202829177213726
y_pred__309,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__310,10.19,0.5512712580935095,0.05421254467371921,10.0,12.0,,1.1474967400707097
y_pred__311,10.0,0.0,0.0,10.0,10.0,,
y_pred__312,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__313,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__314,9.885,0.31902194281898494,0.0315079355083763,9.0,10.0,,1.109195018403065
y_pred__315,10.0,0.0,0.0,10.0,10.0,,
y_pred__316,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
