,alpha,alpha_log__,hyper_alpha_mu,hyper_alpha_sd,hyper_alpha_sd_interval__,hyper_mu_mu,hyper_mu_sd,hyper_mu_sd_interval__,mu,mu_log__,y_pred
68,3.282355731100728e-92,-210.6492671801446,1.118624959461714,13.727968620252183,0.783334970738044,1.0527469383983046,2.562944576794204,-1.9174407410137808,0.11196413696329538,-2.189576664648692,0
69,6.272773143162944e-92,-210.0016100110019,0.5714929704909659,9.659792182206019,-0.06806783254717613,0.364172171226519,2.0727234095922373,-2.1574599854923493,0.015280584266348174,-4.181172258648339,0
70,1.1131217600627609e-90,-207.1254899050745,0.2746849892130384,3.740380604234038,-1.4694973243646128,1.275347994000298,6.5817025930541675,-0.7123257890593773,0.0378851935437797,-3.2731949148938955,0
71,1.220360372690465e-57,-131.04820409808252,0.7441797239963646,10.354352807655232,0.07090024698819153,1.0289658655839402,1.6165336331506197,-2.4311675695199737,0.03485592055190537,-3.3565322694929423,0
72,2.2156786875621813e-57,-130.45179153887605,0.5676407926944368,6.657448108939835,-0.695222074074836,0.9498998774706354,4.223694528785204,-1.3177989349132497,0.03152686345240189,-3.456915288571933,0
73,7.102477612191747e-75,-170.73343829191472,0.9148210199649575,11.83043562148099,0.370259912960381,0.264856484657827,0.42099406793795235,-3.83959440206363,0.006107087281266498,-5.098305332839585,0
74,1.6253076105787964e-73,-167.60301469188067,0.31923109581962644,3.6162153171689844,-1.5108641204192692,1.0790247594432627,3.9387784336758367,-1.4055371352637185,0.04901813697515126,-3.015564907007265,0
75,2.196915668184275e-74,-169.6042424738803,1.1564696632621594,13.489272835197037,0.7284436151333844,0.4881875278839053,5.629221066923648,-0.9372258255549549,0.0069814792903770675,-4.9644944519436445,0
76,2.078838636532725e-73,-167.3569023986071,0.19578549348394275,12.962295368347796,0.610762716632048,0.8974715559351985,1.2136372249731155,-2.7395094005470173,0.033116166174841644,-3.4077337117558035,0
77,2.633226244907691e-107,-245.40839514687568,1.4354888690942176,15.760683086907965,1.3131162757061903,0.6404117803789451,1.4010845541797092,-2.585856651387327,0.09298943713802132,-2.3752693714405435,0
78,6.422139163649272e-121,-276.75304498701684,0.36255186150012014,3.661341407034281,-1.4957044076872292,2.193967794295257,10.123562230306574,0.024713703844381135,0.02082474295878453,-3.871613433920914,0
79,2.5537822168644332e-121,-277.67522076969715,0.30542837594711764,2.529787738309282,-1.932361872821978,2.1058469666726216,9.554121737657496,-0.08923481900044354,0.023783423681200743,-3.7387664249455175,0
80,1.4442684649365145e-120,-275.9426082185493,0.3972313034946519,5.387055386539478,-0.9979088280976792,2.2816191497449037,10.943154493731031,0.18919321906760547,0.011821804443086226,-4.437809618495982,0
81,6.784389445573897e-123,-281.3033421349437,0.7458860474946012,13.72985694847175,0.7837736312029954,2.003389081939146,12.544366355383413,0.5203017282792649,0.03282166564393112,-3.416666443726466,0
82,6.217444699879599e-137,-313.62679873779786,0.5642596562616248,8.805251410847184,-0.24009649764425772,1.0881681937578833,4.522657588824034,-1.2302773913671352,0.031471954743881106,-3.4586584553168596,0
83,8.415887313959239e-137,-313.3240364737796,0.6467572694703163,11.914301113565687,0.38764252116664555,2.2086593617790298,5.06326781958259,-1.0818113372248894,0.013247092742153776,-4.323977166311557,0
84,5.355922174070482e-137,-313.7759548430676,0.67633042162869,12.571691065569707,0.5261493122686535,0.8100592811373903,3.880943941567083,-1.4239237702392775,0.03949684369230514,-3.231534516791678,0
