,alpha,alpha_interval__,mu,mu_interval__,y_pred
48,9.98673659229157,6.624004207509844,8.944929211386995,2.137478940277613,5
49,9.98673659229157,6.624004207509844,8.944929211386995,2.137478940277613,10
50,9.982947039958002,6.372309822137168,8.99728488535242,2.1942114170344946,10
51,9.982947039958002,6.372309822137168,8.99728488535242,2.1942114170344946,3
52,9.980551077221282,6.240601901536436,9.400516791962772,2.7524519804862067,3
53,9.940320170374264,5.115360408336329,9.488766577125148,2.921037630222187,2
54,9.92508928186865,4.886524121666769,9.271631035439821,2.5439068515531673,2
55,9.19254241829638,2.4322573042918982,9.792858464482295,3.8560063648136205,2
56,9.55671796324493,3.070793418531661,8.451958006055957,1.6974072285495174,9
57,8.481369020920598,1.72006262056842,9.469183185531397,2.8813809500587944,15
58,8.481369020920598,1.72006262056842,9.469183185531397,2.8813809500587944,12
59,9.844098523690256,4.145403174349376,9.013694715997364,2.212534409570917,8
60,9.924291924612174,4.87585592945493,9.566189859100033,3.093383296304074,8
61,8.950754333482791,2.1436663186593377,9.502043149327672,2.9487486947805857,13
62,8.950754333482791,2.1436663186593377,9.502043149327672,2.9487486947805857,13
63,9.906413363933643,4.662050044699081,9.074182880760777,2.2825118946722416,13
64,9.89795690878616,4.574688455022259,9.2895510188948,2.5707483632056425,8
65,9.692491204414745,3.450603071714872,9.079616710082622,2.2889970554016967,8
66,9.351012872527134,2.6678270629231178,9.168740340176122,2.4006129755879178,15
67,9.029277364534632,2.230186837983195,9.105996309611161,2.3209785075079044,15
68,9.748107741313316,3.6558270161483972,9.269041110789411,2.5400779941070186,15
69,9.454786436956041,2.8530988168216167,9.383354511268035,2.7223983156529545,9
70,9.08190820019476,2.29174221831382,9.253404676702011,2.5172235334797524,9
71,9.322442003198706,2.6216847376448524,9.477806269855325,2.8986695127610456,10
72,9.422568465624753,2.792273111126179,9.047795432952658,2.2514965153903277,10
73,9.662593279981095,3.3547282596814183,9.431460212420928,2.8087349135043516,7
74,9.640455451288508,3.288885544459106,9.368529111452816,2.6970595425778483,8
75,9.207350012971554,2.4523756126038387,8.826888526484781,2.018142979269779,10
76,9.849377814582502,4.1803889480934195,8.915293575936968,2.106458807852837,7
77,8.52609212906102,1.7552138348864263,8.933051285183796,2.1249551194713066,13
78,9.816637902772218,3.9803710990776784,9.324280812738655,2.6245995306189727,13
79,9.234118710127369,2.489633275074325,9.214951718187566,2.4628374092251666,11
