Idx,Hour,DayCnt,DayYr,Connected
462,6,19,78,7
463,7,19,78,8
464,8,19,78,9
465,9,19,78,3
466,10,19,78,4
467,11,19,78,4
468,12,19,78,1
469,13,19,78,5
470,14,19,78,3
471,15,19,78,4
472,16,19,78,6
473,17,19,78,4
474,18,19,78,1
475,19,19,78,3
476,20,19,78,2
477,21,19,78,1
478,22,19,78,1
479,23,19,78,0
480,0,20,89,0
481,1,20,89,0
482,2,20,89,0
483,3,20,89,0
484,4,20,89,0
485,5,20,89,1
486,6,20,89,2
487,7,20,89,11
488,8,20,89,10
489,9,20,89,3
490,10,20,89,6
491,11,20,89,1
492,12,20,89,7
493,13,20,89,6
494,14,20,89,13
495,15,20,89,5
496,16,20,89,6
497,17,20,89,1
498,18,20,89,3
499,19,20,89,1
500,20,20,89,0
501,21,20,89,2
502,22,20,89,3
503,23,20,89,0
504,0,21,90,0
505,1,21,90,1
506,2,21,90,0
507,3,21,90,0
508,4,21,90,0
509,5,21,90,2
510,6,21,90,4
511,7,21,90,6
512,8,21,90,9
513,9,21,90,6
514,10,21,90,6
515,11,21,90,3
516,12,21,90,10
517,13,21,90,6
518,14,21,90,3
519,15,21,90,1
520,16,21,90,2
521,17,21,90,1
522,18,21,90,3
523,19,21,90,1
524,20,21,90,1
525,21,21,90,1
526,22,21,90,1
527,23,21,90,0
528,0,22,95,0
529,1,22,95,0
530,2,22,95,0
531,3,22,95,0
532,4,22,95,1
533,5,22,95,1
534,6,22,95,4
535,7,22,95,9
536,8,22,95,11
537,9,22,95,4
538,10,22,95,7
539,11,22,95,1
540,12,22,95,9
541,13,22,95,9
542,14,22,95,4
543,15,22,95,6
544,16,22,95,1
545,17,22,95,3
546,18,22,95,1
547,19,22,95,0
548,20,22,95,2
549,21,22,95,1
550,22,22,95,2
551,23,22,95,0
552,0,23,97,0
553,1,23,97,0
554,2,23,97,0
555,3,23,97,0
556,4,23,97,0
557,5,23,97,1
558,6,23,97,4
559,7,23,97,11
560,8,23,97,10
561,9,23,97,7
562,10,23,97,2
563,11,23,97,6
564,12,23,97,13
565,13,23,97,7
566,14,23,97,8
567,15,23,97,5
568,16,23,97,5
569,17,23,97,3
570,18,23,97,6
571,19,23,97,2
572,20,23,97,0
573,21,23,97,0
574,22,23,97,1
575,23,23,97,1
576,0,24,101,0
577,1,24,101,0
