,EVSE ID,Port Number,Station Name,Plug In Event Id,Start Date,End Date,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),Ended By,Port Type,City,Latitude,Longitude,User ID,Driver Postal Code,Duration (h),Charging (h),DayofYr,DayofWk,isWeekday,Year,StartHr,EndHr,AvgPwr,Date,dayCount
566,186415,1,RMP NTO OFFICE / NTO WEST LOT 3,453,2018-01-16 07:57:31,2018-01-16 11:25:17,0 days 03:27:46.000000000,0 days 02:06:03.000000000,5.757999999999999,Plug Out at Vehicle,Level 2,Salt Lake City,40.771267,-111.932449,1439391,77429,1.75,1.0,16,1,1,2018,8.0,11.5,3.2902857142857136,2018-1-16,11
565,167437,1,PUBLIC USE / 300 SOUTH,1150,2018-01-16 07:54:53,2018-01-16 08:29:28,0 days 00:34:38.000000000,0 days 00:34:20.000000000,2.6239999999999997,Plug Out at Vehicle,Level 2,Salt Lake City,40.762943,-111.889496,1010781,84103,0.25,0.25,16,1,1,2018,8.0,8.5,10.495999999999999,2018-1-16,11
574,167347,1,PUBLIC USE / 159 S. MAIN ST,578,2018-01-16 09:20:15,2018-01-16 11:38:36,0 days 02:18:23.000000000,0 days 02:18:02.000000000,7.9479999999999995,Customer,Level 2,Salt Lake City,40.76569,-111.890976,630723,84070,1.25,1.25,16,1,1,2018,9.25,11.75,6.3584,2018-1-16,11
573,204577,2,PACKSIZE / CLEAN AIR 4,132,2018-01-16 09:14:19,2018-01-16 20:27:17,0 days 11:12:58.000000000,0 days 03:11:04.000000000,11.289000000000001,Plug Out at Vehicle,Level 2,Salt Lake City,40.742542,-111.981163,1257051,84009,5.5,1.5,16,1,1,2018,9.25,20.5,2.052545454545455,2018-1-16,11
575,121747,2,FLEET / PSB-FIRE,939,2018-01-16 10:30:06,2018-01-16 10:55:28,0 days 00:25:20.000000000,0 days 00:25:05.000000000,2.436,Plug Out at Vehicle,Level 2,Salt Lake City,40.7589,-111.882011,6585V,,0.25,0.25,16,1,1,2018,10.5,11.0,9.744,2018-1-16,11
571,210207,2,PACKSIZE / CLEAN AIR 9,94,2018-01-16 08:24:09,2018-01-16 17:02:57,0 days 08:38:47.000000000,0 days 02:05:27.000000000,5.957999999999999,Plug Out at Vehicle,Level 2,Salt Lake City,40.742496,-111.98101799999999,1092231,84111,4.25,1.0,16,1,1,2018,8.5,17.0,1.4018823529411764,2018-1-16,11
572,182139,2,PUBLIC USE / SUGAR HOUSE,1516118426,2018-01-16 09:00:33,2018-01-16 12:04:52,0 days 03:04:18.000000000,0 days 03:00:01.000000000,9.736,Plug Out at Vehicle,Level 2,Salt Lake City,40.723351,-111.85875700000001,659423,84120,1.5,1.5,16,1,1,2018,9.0,12.0,6.490666666666667,2018-1-16,11
570,210209,2,PACKSIZE / CLEAN AIR 12,71,2018-01-16 08:22:28,2018-01-16 17:02:21,0 days 08:39:53.000000000,0 days 03:52:24.000000000,15.727,Plug Out at Vehicle,Level 2,Salt Lake City,40.742546000000004,-111.981224,1114701,84096,4.25,2.0,16,1,1,2018,8.25,17.0,3.7004705882352944,2018-1-16,11
569,176447,2,SALT LAKE CITY / PSB-FIRE NORTH,321,2018-01-16 08:15:14,2018-01-16 11:47:36,0 days 03:32:22.000000000,0 days 02:04:26.000000000,6.192,Plug Out at Vehicle,Level 2,Salt Lake City,40.759009999999996,-111.88205,6587V,,1.75,1.0,16,1,1,2018,8.25,11.75,3.5382857142857143,2018-1-16,11
568,167437,2,PUBLIC USE / 300 SOUTH,1152,2018-01-16 08:05:21,2018-01-16 10:59:02,0 days 02:53:40.000000000,0 days 02:42:03.000000000,8.949,Plug Out at Vehicle,Level 2,Salt Lake City,40.762943,-111.889496,1585641,84037,1.5,1.25,16,1,1,2018,8.0,11.0,5.966,2018-1-16,11
567,210199,1,PACKSIZE / CLEAN AIR 6,112,2018-01-16 07:58:09,2018-01-16 16:56:12,0 days 08:58:03.000000000,0 days 03:03:19.000000000,7.017,Plug Out at Vehicle,Level 2,Salt Lake City,40.742577000000004,-111.981323,803613,84054,4.5,1.5,16,1,1,2018,8.0,17.0,1.5593333333333335,2018-1-16,11
840,210215,2,PACKSIZE / CLEAN AIR 10,108,2018-01-22 12:54:58,2018-01-22 18:14:53,0 days 05:19:55.000000000,0 days 02:14:23.000000000,7.065,Plug Out at Vehicle,Level 2,Salt Lake City,40.742569,-111.98127,521537,84020,2.75,1.0,22,0,1,2018,13.0,18.25,2.5690909090909093,2018-1-22,15
838,167347,1,PUBLIC USE / 159 S. MAIN ST,603,2018-01-22 12:53:22,2018-01-22 17:49:39,0 days 04:56:17.000000000,0 days 02:31:19.000000000,8.527999999999999,Plug Out at Vehicle,Level 2,Salt Lake City,40.76569,-111.890976,787127,84116,2.5,1.25,22,0,1,2018,13.0,17.75,3.4111999999999996,2018-1-22,15
837,210199,2,PACKSIZE / CLEAN AIR 6,1516649908,2018-01-22 12:38:35,2018-01-22 17:49:05,0 days 05:10:30.000000000,0 days 01:06:23.000000000,3.054,Plug Out at Vehicle,Level 2,Salt Lake City,40.742577000000004,-111.981323,1124211,84014,2.5,0.5,22,0,1,2018,12.75,17.75,1.2216,2018-1-22,15
836,182139,2,PUBLIC USE / SUGAR HOUSE,1516649476,2018-01-22 12:32:03,2018-01-22 13:39:46,0 days 01:07:41.000000000,0 days 01:07:27.000000000,4.172,Plug Out at Vehicle,Level 2,Salt Lake City,40.723351,-111.85875700000001,659423,84120,0.5,0.5,22,0,1,2018,12.5,13.75,8.344,2018-1-22,15
839,153363,1B,RMP NTO OFFICE / NTO WEST LOT FC,502,2018-01-22 12:54:50,2018-01-22 13:49:42,0 days 00:54:52.000000000,0 days 00:54:32.000000000,14.244000000000002,Plug Out at Station,DC Fast,Salt Lake City,40.771263,-111.93251000000001,705317,84054,0.5,0.5,22,0,1,2018,13.0,13.75,28.488000000000003,2018-1-22,15
835,186415,1,RMP NTO OFFICE / NTO WEST LOT 3,463,2018-01-22 12:12:58,2018-01-22 16:08:48,0 days 03:55:49.000000000,0 days 02:20:09.000000000,5.074,Plug Out at Vehicle,Level 2,Salt Lake City,40.771267,-111.932449,1054141,84123,2.0,1.25,22,0,1,2018,12.25,16.25,2.537,2018-1-22,15
830,144179,1,FLEET / SLC FACILITIES,537,2018-01-22 11:53:31,2018-01-22 13:44:25,0 days 01:50:54.000000000,0 days 00:54:18.000000000,3.685,Plug Out at Vehicle,Level 2,Salt Lake City,40.75592,-111.8834,6569V,,1.0,0.5,22,0,1,2018,12.0,13.75,3.685,2018-1-22,15
833,186285,1,RMP NTO OFFICE / NTO WEST LOT 1,476,2018-01-22 12:06:34,2018-01-22 17:52:34,0 days 05:46:00.000000000,0 days 02:48:57.000000000,7.2139999999999995,Plug Out at Vehicle,Level 2,Salt Lake City,40.771259,-111.93231999999999,829009,84020,3.0,1.5,22,0,1,2018,12.0,17.75,2.4046666666666665,2018-1-22,15
832,167175,2,PUBLIC USE / PIONEER PARK,1516647722,2018-01-22 12:02:23,2018-01-22 13:01:01,0 days 00:58:40.000000000,0 days 00:58:18.000000000,3.391,Plug Out at Vehicle,Level 2,Salt Lake City,40.762714,-111.900902,810479,84124,0.5,0.5,22,0,1,2018,12.0,13.0,6.782,2018-1-22,15
831,183643,2,RMP NTO OFFICE / NTO WEST LOT 2,448,2018-01-22 12:01:03,2018-01-22 18:12:52,0 days 06:11:48.000000000,0 days 03:17:06.000000000,9.31,Plug Out at Vehicle,Level 2,Salt Lake City,40.771263,-111.932381,1337271,84065,3.0,1.75,22,0,1,2018,12.0,18.25,3.1033333333333335,2018-1-22,15
829,182073,2,PUBLIC USE / LIBERTY PARK 2,271,2018-01-22 11:47:45,2018-01-22 13:43:44,0 days 01:55:56.000000000,0 days 01:55:42.000000000,13.238,Plug Out at Vehicle,Level 2,Salt Lake City,40.746722999999996,-111.87631200000001,1058341,84604,1.0,1.0,22,0,1,2018,11.75,13.75,13.238,2018-1-22,15
841,210209,1,PACKSIZE / CLEAN AIR 12,82,2018-01-22 13:07:31,2018-01-22 15:36:37,0 days 02:29:06.000000000,0 days 00:40:51.000000000,1.87,Plug Out at Vehicle,Level 2,Salt Lake City,40.742546000000004,-111.981224,1458111,84121,1.25,0.25,22,0,1,2018,13.0,15.5,1.496,2018-1-22,15
828,121747,2,FLEET / PSB-FIRE,945,2018-01-22 11:40:42,2018-01-22 14:29:52,0 days 02:49:10.000000000,0 days 01:05:01.000000000,4.71,Plug Out at Vehicle,Level 2,Salt Lake City,40.7589,-111.882011,6585V,,1.5,0.5,22,0,1,2018,11.75,14.5,3.14,2018-1-22,15
834,153363,1A,RMP NTO OFFICE / NTO WEST LOT FC,501,2018-01-22 12:11:16,2018-01-22 12:30:30,0 days 00:19:14.000000000,0 days 00:19:00.000000000,10.692,Plug Out at Station,DC Fast,Salt Lake City,40.771263,-111.93251000000001,679849,84025,0.25,0.25,22,0,1,2018,12.25,12.5,42.768,2018-1-22,15
842,212307,2,PACKSIZE / CLEAN AIR 1,94,2018-01-22 13:08:04,2018-01-22 17:13:02,0 days 04:04:58.000000000,0 days 02:10:23.000000000,5.687,Plug Out at Vehicle,Level 2,Salt Lake City,40.74242,-111.98172,1114701,84096,2.0,1.0,22,0,1,2018,13.25,17.25,2.8435,2018-1-22,15
855,167437,2,PUBLIC USE / 300 SOUTH,1185,2018-01-22 17:57:12,2018-01-22 20:01:55,0 days 02:04:41.000000000,0 days 02:04:32.000000000,9.504,Plug Out at Vehicle,Level 2,Salt Lake City,40.762943,-111.889496,1602241,84041,1.0,1.0,22,0,1,2018,18.0,20.0,9.504,2018-1-22,15
844,204591,2,PACKSIZE / CLEAN AIR 3,55,2018-01-22 13:21:27,2018-01-22 17:35:09,0 days 04:13:42.000000000,0 days 02:52:13.000000000,9.026,Plug Out at Vehicle,Level 2,Salt Lake City,40.742378,-111.981407,1096541,84093,2.0,1.5,22,0,1,2018,13.25,17.5,4.513,2018-1-22,15
827,210209,2,PACKSIZE / CLEAN AIR 12,81,2018-01-22 11:25:18,2018-01-22 16:45:39,0 days 05:20:21.000000000,0 days 02:51:44.000000000,10.758,Plug Out at Vehicle,Level 2,Salt Lake City,40.742546000000004,-111.981224,672723,84087,2.75,1.5,22,0,1,2018,11.5,16.75,3.9119999999999995,2018-1-22,15
859,167347,2,PUBLIC USE / 159 S. MAIN ST,604,2018-01-22 19:24:16,2018-01-22 22:32:21,0 days 03:08:05.000000000,0 days 02:12:43.000000000,6.609,Plug Out at Vehicle,Level 2,Salt Lake City,40.76569,-111.890976,534017,84121,1.5,1.0,22,0,1,2018,19.5,22.5,4.406,2018-1-22,15
858,182139,1,PUBLIC USE / SUGAR HOUSE,951,2018-01-22 19:13:36,2018-01-22 20:31:50,0 days 01:18:12.000000000,0 days 01:18:04.000000000,9.36,Plug Out at Vehicle,Level 2,Salt Lake City,40.723351,-111.85875700000001,658137,84102,0.75,0.75,22,0,1,2018,19.25,20.5,12.479999999999999,2018-1-22,15
857,167437,1,PUBLIC USE / 300 SOUTH,1186,2018-01-22 18:59:34,2018-01-22 21:00:03,0 days 02:00:31.000000000,0 days 02:00:07.000000000,6.766,Plug Out at Vehicle,Level 2,Salt Lake City,40.762943,-111.889496,651769,84115,1.0,1.0,22,0,1,2018,19.0,21.0,6.766,2018-1-22,15
856,182073,2,PUBLIC USE / LIBERTY PARK 2,272,2018-01-22 18:48:51,2018-01-22 20:37:13,0 days 01:48:24.000000000,0 days 01:48:10.000000000,12.397,Plug Out at Vehicle,Level 2,Salt Lake City,40.746722999999996,-111.87631200000001,1058341,84604,1.0,1.0,22,0,1,2018,18.75,20.5,12.397,2018-1-22,15
854,182139,2,PUBLIC USE / SUGAR HOUSE,950,2018-01-22 17:44:39,2018-01-22 20:43:21,0 days 02:58:45.000000000,0 days 02:58:34.000000000,17.887999999999998,Plug Out at Vehicle,Level 2,Salt Lake City,40.723351,-111.85875700000001,709233,84117,1.5,1.5,22,0,1,2018,17.75,20.75,11.925333333333333,2018-1-22,15
843,183643,1,RMP NTO OFFICE / NTO WEST LOT 2,449,2018-01-22 13:08:54,2018-01-22 17:11:29,0 days 04:02:38.000000000,0 days 04:02:17.000000000,18.742,Plug Out at Vehicle,Level 2,Salt Lake City,40.771263,-111.932381,447091,84401,2.0,2.0,22,0,1,2018,13.25,17.25,9.371,2018-1-22,15
853,169185,1,PUBLIC USE / FOREST DALE GOL,1516667710,2018-01-22 17:35:16,2018-01-22 18:17:07,0 days 00:41:49.000000000,0 days 00:41:38.000000000,2.572,Plug Out at Vehicle,Level 2,Salt Lake City,40.718914,-111.864822,389609,84134,0.25,0.25,22,0,1,2018,17.5,18.25,10.288,2018-1-22,15
851,167437,1,PUBLIC USE / 300 SOUTH,1516664042,2018-01-22 16:34:06,2018-01-22 18:51:03,0 days 02:17:00.000000000,0 days 02:16:40.000000000,6.135,Plug Out at Vehicle,Level 2,Salt Lake City,40.762943,-111.889496,293487,84103,1.25,1.25,22,0,1,2018,16.5,18.75,4.9079999999999995,2018-1-22,15
850,153363,1A,RMP NTO OFFICE / NTO WEST LOT FC,503,2018-01-22 16:22:57,2018-01-22 17:09:29,0 days 00:46:32.000000000,0 days 00:46:19.000000000,4.6819999999999995,Plug Out at Station,DC Fast,Salt Lake City,40.771263,-111.93251000000001,714481,84116,0.5,0.5,22,0,1,2018,16.25,17.25,9.363999999999999,2018-1-22,15
849,186415,2,RMP NTO OFFICE / NTO WEST LOT 3,464,2018-01-22 15:57:35,2018-01-22 17:38:14,0 days 01:40:38.000000000,0 days 01:40:31.000000000,5.176,Plug Out at Vehicle,Level 2,Salt Lake City,40.771267,-111.932449,292881,84010,0.75,0.75,22,0,1,2018,16.0,17.75,6.9013333333333335,2018-1-22,15
847,121747,2,FLEET / PSB-FIRE,946,2018-01-22 14:57:32,2018-01-23 09:09:02,0 days 18:11:29.000000000,0 days 00:30:26.000000000,1.5759999999999998,Plug Out at Vehicle,Level 2,Salt Lake City,40.7589,-111.882011,6585V,,9.0,0.25,22,0,1,2018,15.0,9.25,0.1751111111111111,2018-1-22,15
846,167437,2,PUBLIC USE / 300 SOUTH,1184,2018-01-22 14:30:44,2018-01-22 17:02:29,0 days 02:31:42.000000000,0 days 02:25:17.000000000,7.106,Plug Out at Vehicle,Level 2,Salt Lake City,40.762943,-111.889496,791059,84104,1.25,1.25,22,0,1,2018,14.5,17.0,5.6848,2018-1-22,15
