,EVSE ID,Port Number,Station Name,Plug In Event Id,Start Date,End Date,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),Ended By,Port Type,City,Latitude,Longitude,User ID,Driver Postal Code,Duration (h),Charging (h),DayofYr,DayofWk,isWeekday,Year,StartHr,EndHr,AvgPwr,Date,dayCount
53,167437,1,PUBLIC USE / 300 SOUTH,1514925175,2018-01-02 13:33:03,2018-01-02 17:35:41,0 days 04:02:38.000000000,0 days 01:42:51.000000000,9.536,Plug Out at Vehicle,Level 2,Salt Lake City,40.762943,-111.889496,741737,84009,2.0,0.75,2,1,1,2018,13.0,17.0,4.768,2018-1-2,1
54,167485,1,PUBLIC USE / LIBRARY SQUA P1,96,2018-01-02 13:51:45,2018-01-02 18:57:14,0 days 05:05:34.000000000,0 days 03:59:21.000000000,12.923,Plug Out at Vehicle,Level 2,Salt Lake City,40.759426,-111.883629,734371,84010,2.5,2.0,2,1,1,2018,13.0,18.0,5.1692,2018-1-2,1
55,210209,1,PACKSIZE / CLEAN AIR 12,55,2018-01-02 13:57:10,2018-01-02 16:12:45,0 days 02:15:35.000000000,0 days 02:00:34.000000000,6.1979999999999995,Plug Out at Vehicle,Level 2,Salt Lake City,40.742546000000004,-111.981224,1458111,84121,1.25,1.0,2,1,1,2018,13.0,16.0,4.958399999999999,2018-1-2,1
56,167347,1,PUBLIC USE / 159 S. MAIN ST,507,2018-01-02 14:36:08,2018-01-02 21:30:08,0 days 06:53:59.000000000,0 days 03:01:19.000000000,17.349,Plug Out at Vehicle,Level 2,Salt Lake City,40.76569,-111.890976,761049,84106,3.5,1.5,2,1,1,2018,14.0,21.0,4.956857142857143,2018-1-2,1
57,182139,2,PUBLIC USE / SUGAR HOUSE,878,2018-01-02 15:10:51,2018-01-02 16:56:09,0 days 01:45:21.000000000,0 days 01:45:12.000000000,6.229,Plug Out at Vehicle,Level 2,Salt Lake City,40.723351,-111.85875700000001,,,1.0,1.0,2,1,1,2018,15.0,16.0,6.229,2018-1-2,1
58,153363,1A,RMP NTO OFFICE / NTO WEST LOT FC,1514934999,2018-01-02 16:16:57,2018-01-02 17:28:06,0 days 01:11:09.000000000,0 days 01:11:04.000000000,11.02,Plug Out at Station,DC Fast,Salt Lake City,40.771263,-111.93251000000001,1134601,84045,0.5,0.5,2,1,1,2018,16.0,17.0,22.04,2018-1-2,1
59,167713,2,PUBLIC USE / LIBERTY PARK,525,2018-01-02 16:32:54,2018-01-02 17:07:34,0 days 00:34:39.000000000,0 days 00:34:24.000000000,2.116,Plug Out at Vehicle,Level 2,Salt Lake City,40.746788,-111.87631200000001,1375521,84108,0.25,0.25,2,1,1,2018,16.0,17.0,8.464,2018-1-2,1
60,182139,2,PUBLIC USE / SUGAR HOUSE,879,2018-01-02 18:05:42,2018-01-02 18:32:16,0 days 00:26:38.000000000,0 days 00:26:24.000000000,2.8810000000000002,Plug Out at Vehicle,Level 2,Salt Lake City,40.723351,-111.85875700000001,909421,84105,0.25,0.25,2,1,1,2018,18.0,18.0,11.524000000000001,2018-1-2,1
61,182139,1,PUBLIC USE / SUGAR HOUSE,881,2018-01-02 19:46:48,2018-01-02 21:15:49,0 days 01:29:01.000000000,0 days 01:01:50.000000000,6.755,Plug Out at Vehicle,Level 2,Salt Lake City,40.723351,-111.85875700000001,1333911,84124,0.75,0.5,2,1,1,2018,19.0,21.0,9.006666666666666,2018-1-2,1
62,167437,2,PUBLIC USE / 300 SOUTH,1083,2018-01-02 21:26:54,2018-01-03 00:03:46,0 days 02:36:50.000000000,0 days 02:36:40.000000000,15.165,Plug Out at Vehicle,Level 2,Salt Lake City,40.762943,-111.889496,709233,84117,1.25,1.25,2,1,1,2018,21.0,0.0,12.132,2018-1-2,1
52,183643,1,RMP NTO OFFICE / NTO WEST LOT 2,411,2018-01-02 13:20:40,2018-01-02 17:16:58,0 days 03:56:16.000000000,0 days 03:56:09.000000000,12.075,Plug Out at Vehicle,Level 2,Salt Lake City,40.771263,-111.932381,1054141,84123,2.0,2.0,2,1,1,2018,13.0,17.0,6.0375,2018-1-2,1
38,210209,2,PACKSIZE / CLEAN AIR 12,54,2018-01-02 09:21:08,2018-01-02 12:20:30,0 days 02:59:22.000000000,0 days 02:28:02.000000000,7.659,Plug Out at Vehicle,Level 2,Salt Lake City,40.742546000000004,-111.981224,1087571,84014,1.5,1.25,2,1,1,2018,9.0,12.0,5.106,2018-1-2,1
51,186415,1,RMP NTO OFFICE / NTO WEST LOT 3,427,2018-01-02 13:09:06,2018-01-02 17:10:23,0 days 04:01:16.000000000,0 days 03:37:06.000000000,16.802,Plug Out at Vehicle,Level 2,Salt Lake City,40.771267,-111.932449,447091,84401,2.0,1.75,2,1,1,2018,13.0,17.0,8.401,2018-1-2,1
36,167347,2,PUBLIC USE / 159 S. MAIN ST,506,2018-01-02 09:07:43,2018-01-02 11:07:59,0 days 02:00:17.000000000,0 days 02:00:07.000000000,7.371,Customer,Level 2,Salt Lake City,40.76569,-111.890976,630723,84070,1.0,1.0,2,1,1,2018,9.0,11.0,7.371,2018-1-2,1
37,210207,1,PACKSIZE / CLEAN AIR 9,72,2018-01-02 09:07:46,2018-01-02 12:34:05,0 days 03:26:24.000000000,0 days 01:13:26.000000000,3.133,Plug Out at Vehicle,Level 2,Salt Lake City,40.742496,-111.98101799999999,333033,84124,1.75,0.5,2,1,1,2018,9.0,12.0,1.7902857142857143,2018-1-2,1
13,128725,1,RMP NTO OFFICE / STATION 1,1048,2018-01-02 05:52:56,2018-01-02 07:14:35,0 days 01:21:38.000000000,0 days 01:21:33.000000000,4.024,Plug Out at Vehicle,Level 2,Salt Lake City,40.770634,-111.93139599999999,145377,84121,0.75,0.75,2,1,1,2018,5.0,7.0,5.365333333333333,2018-1-2,1
14,186285,1,RMP NTO OFFICE / NTO WEST LOT 1,434,2018-01-02 06:46:02,2018-01-02 12:25:53,0 days 05:39:51.000000000,0 days 02:32:58.000000000,6.915,Plug Out at Vehicle,Level 2,Salt Lake City,40.771259,-111.93231999999999,829009,84020,2.75,1.25,2,1,1,2018,6.0,12.0,2.5145454545454546,2018-1-2,1
15,186415,2,RMP NTO OFFICE / NTO WEST LOT 3,1514902126,2018-01-02 07:09:20,2018-01-02 12:25:23,0 days 05:16:03.000000000,0 days 02:55:04.000000000,8.9,Plug Out at Vehicle,Level 2,Salt Lake City,40.771267,-111.932449,1217291,84128,2.75,1.5,2,1,1,2018,7.0,12.0,3.2363636363636363,2018-1-2,1
16,128725,2,RMP NTO OFFICE / STATION 1,1049,2018-01-02 07:14:06,2018-01-02 11:03:35,0 days 03:49:26.000000000,0 days 03:49:13.000000000,12.735999999999999,Plug Out at Vehicle,Level 2,Salt Lake City,40.770634,-111.93139599999999,736191,84405,2.0,2.0,2,1,1,2018,7.0,11.0,6.367999999999999,2018-1-2,1
17,212307,2,PACKSIZE / CLEAN AIR 1,80,2018-01-02 07:39:44,2018-01-02 17:54:07,0 days 10:14:22.000000000,0 days 02:30:30.000000000,8.439,Plug Out at Vehicle,Level 2,Salt Lake City,40.74242,-111.98172,521537,84020,5.0,1.25,2,1,1,2018,7.0,17.0,1.6878,2018-1-2,1
18,183643,2,RMP NTO OFFICE / NTO WEST LOT 2,408,2018-01-02 07:40:38,2018-01-02 11:02:28,0 days 03:21:52.000000000,0 days 03:21:38.000000000,11.399000000000001,Customer,Level 2,Salt Lake City,40.771263,-111.932381,1350161,84037,1.75,1.75,2,1,1,2018,7.0,11.0,6.513714285714286,2018-1-2,1
20,167437,1,PUBLIC USE / 300 SOUTH,1078,2018-01-02 07:45:44,2018-01-02 08:25:58,0 days 00:40:18.000000000,0 days 00:39:59.000000000,4.499,Plug Out at Vehicle,Level 2,Salt Lake City,40.762943,-111.889496,1010781,84103,0.25,0.25,2,1,1,2018,7.0,8.0,17.996,2018-1-2,1
21,186285,2,RMP NTO OFFICE / NTO WEST LOT 1,1514904797,2018-01-02 07:53:24,2018-01-02 10:33:45,0 days 02:40:21.000000000,0 days 02:05:49.000000000,4.914,Plug Out at Vehicle,Level 2,Salt Lake City,40.771259,-111.93231999999999,1301491,84107,1.25,1.0,2,1,1,2018,7.0,10.0,3.9311999999999996,2018-1-2,1
22,210215,1,PACKSIZE / CLEAN AIR 10,91,2018-01-02 07:55:49,2018-01-02 11:50:51,0 days 03:55:07.000000000,0 days 01:50:27.000000000,5.406000000000001,Plug Out at Vehicle,Level 2,Salt Lake City,40.742569,-111.98127,348863,84065,2.0,1.0,2,1,1,2018,7.0,11.0,2.7030000000000003,2018-1-2,1
23,204579,2,PACKSIZE / CLEAN AIR 5,33,2018-01-02 08:00:43,2018-01-02 17:54:57,0 days 09:54:14.000000000,0 days 02:51:51.000000000,10.033,Plug Out at Vehicle,Level 2,Salt Lake City,40.742401,-111.98159,333033,84124,5.0,1.5,2,1,1,2018,8.0,17.0,2.0065999999999997,2018-1-2,1
19,128725,1,RMP NTO OFFICE / STATION 1,1050,2018-01-02 07:43:23,2018-01-02 17:46:57,0 days 10:03:30.000000000,0 days 04:33:58.000000000,13.217,Plug Out at Vehicle,Level 2,Salt Lake City,40.770634,-111.93139599999999,1337271,84065,5.0,2.25,2,1,1,2018,7.0,17.0,2.6434,2018-1-2,1
31,204591,2,PACKSIZE / CLEAN AIR 3,46,2018-01-02 08:25:51,2018-01-02 17:20:16,0 days 08:54:25.000000000,0 days 04:49:32.000000000,12.495,Plug Out at Vehicle,Level 2,Salt Lake City,40.742378,-111.981407,1301971,84111,4.5,2.5,2,1,1,2018,8.0,17.0,2.7766666666666664,2018-1-2,1
25,210207,2,PACKSIZE / CLEAN AIR 9,71,2018-01-02 08:10:22,2018-01-02 16:58:54,0 days 08:48:31.000000000,0 days 02:38:37.000000000,6.042000000000001,Plug Out at Vehicle,Level 2,Salt Lake City,40.742496,-111.98101799999999,1092231,84111,4.5,1.25,2,1,1,2018,8.0,16.0,1.342666666666667,2018-1-2,1
26,204577,2,PACKSIZE / CLEAN AIR 4,119,2018-01-02 08:12:37,2018-01-02 12:08:00,0 days 03:55:23.000000000,0 days 02:26:57.000000000,8.624,Plug Out at Vehicle,Level 2,Salt Lake City,40.742542,-111.981163,1079571,84104,2.0,1.25,2,1,1,2018,8.0,12.0,4.312,2018-1-2,1
27,210203,2,PACKSIZE / CLEAN AIR 7,44,2018-01-02 08:13:51,2018-01-02 17:14:24,0 days 09:00:33.000000000,0 days 02:33:31.000000000,8.414,Plug Out at Vehicle,Level 2,Salt Lake City,40.742409,-111.98151399999999,1114701,84096,4.5,1.25,2,1,1,2018,8.0,17.0,1.8697777777777778,2018-1-2,1
28,176447,2,SALT LAKE CITY / PSB-FIRE NORTH,310,2018-01-02 08:14:56,2018-01-02 14:40:46,0 days 06:25:50.000000000,0 days 02:05:05.000000000,6.306,Plug Out at Vehicle,Level 2,Salt Lake City,40.759009999999996,-111.88205,6587V,,3.25,1.0,2,1,1,2018,8.0,14.0,1.9403076923076923,2018-1-2,1
29,210225,2,PACKSIZE / CLEAN AIR 13,138,2018-01-02 08:23:53,2018-01-02 09:27:38,0 days 01:03:48.000000000,0 days 01:03:33.000000000,3.412,Plug Out at Vehicle,Level 2,Salt Lake City,40.742527,-111.98111000000002,1458111,84121,0.5,0.5,2,1,1,2018,8.0,9.0,6.824,2018-1-2,1
30,210199,1,PACKSIZE / CLEAN AIR 6,88,2018-01-02 08:24:05,2018-01-02 17:46:47,0 days 09:22:41.000000000,0 days 03:17:43.000000000,10.062000000000001,Plug Out at Vehicle,Level 2,Salt Lake City,40.742577000000004,-111.981323,1113081,84104,4.75,1.75,2,1,1,2018,8.0,17.0,2.1183157894736846,2018-1-2,1
32,167437,2,PUBLIC USE / 300 SOUTH,1079,2018-01-02 08:27:36,2018-01-02 11:15:41,0 days 02:48:07.000000000,0 days 02:47:50.000000000,14.356,Plug Out at Vehicle,Level 2,Salt Lake City,40.762943,-111.889496,747513,84041,1.5,1.5,2,1,1,2018,8.0,11.0,9.570666666666666,2018-1-2,1
33,183643,1,RMP NTO OFFICE / NTO WEST LOT 2,409,2018-01-02 08:30:51,2018-01-02 11:33:29,0 days 03:02:38.000000000,0 days 02:55:51.000000000,5.957000000000001,Plug Out at Vehicle,Level 2,Salt Lake City,40.771263,-111.932381,782197,84041,1.5,1.5,2,1,1,2018,8.0,11.0,3.971333333333334,2018-1-2,1
34,167485,2,PUBLIC USE / LIBRARY SQUA P1,95,2018-01-02 08:58:32,2018-01-02 17:10:50,0 days 08:12:18.000000000,0 days 00:31:19.000000000,0.5920000000000001,Plug Out at Vehicle,Level 2,Salt Lake City,40.759426,-111.883629,522355,84115,4.0,0.25,2,1,1,2018,8.0,17.0,0.14800000000000002,2018-1-2,1
24,186415,1,RMP NTO OFFICE / NTO WEST LOT 3,425,2018-01-02 08:03:41,2018-01-02 12:27:00,0 days 04:23:19.000000000,0 days 02:14:24.000000000,6.249,Plug Out at Vehicle,Level 2,Salt Lake City,40.771267,-111.932449,1439391,77429,2.25,1.0,2,1,1,2018,8.0,12.0,2.777333333333333,2018-1-2,1
35,167437,1,PUBLIC USE / 300 SOUTH,1080,2018-01-02 09:06:11,2018-01-02 09:42:35,0 days 00:36:22.000000000,0 days 00:35:56.000000000,2.28,Plug Out at Vehicle,Level 2,Salt Lake City,40.762943,-111.889496,723407,84660,0.25,0.25,2,1,1,2018,9.0,9.0,9.12,2018-1-2,1
102,186415,2,RMP NTO OFFICE / NTO WEST LOT 3,430,2018-01-03 13:08:46,2018-01-03 17:08:49,0 days 04:00:03.000000000,0 days 03:53:31.000000000,15.503,Plug Out at Vehicle,Level 2,Salt Lake City,40.771267,-111.932449,1054141,84123,2.0,2.0,3,2,1,2018,13.0,17.0,7.7515,2018-1-3,2
103,183643,1,RMP NTO OFFICE / NTO WEST LOT 2,414,2018-01-03 13:26:58,2018-01-03 16:06:53,0 days 02:39:58.000000000,0 days 02:39:40.000000000,15.392000000000001,Plug Out at Vehicle,Level 2,Salt Lake City,40.771263,-111.932381,447091,84401,1.25,1.25,3,2,1,2018,13.0,16.0,12.313600000000001,2018-1-3,2
94,153363,1A,RMP NTO OFFICE / NTO WEST LOT FC,1515004717,2018-01-03 11:38:54,2018-01-03 12:19:35,0 days 00:40:40.000000000,0 days 00:40:32.000000000,10.051,Plug Out at Station,DC Fast,Salt Lake City,40.771263,-111.93251000000001,1134601,84045,0.25,0.25,3,2,1,2018,11.0,12.0,40.204,2018-1-3,2
104,210199,1,PACKSIZE / CLEAN AIR 6,93,2018-01-03 13:41:15,2018-01-03 18:39:02,0 days 04:57:47.000000000,0 days 02:37:11.000000000,7.269,Plug Out at Vehicle,Level 2,Salt Lake City,40.742577000000004,-111.981323,1113081,84104,2.5,1.25,3,2,1,2018,13.0,18.0,2.9076,2018-1-3,2
101,167347,1,PUBLIC USE / 159 S. MAIN ST,509,2018-01-03 13:07:42,2018-01-03 15:17:32,0 days 02:09:47.000000000,0 days 02:09:21.000000000,7.824,Customer,Level 2,Salt Lake City,40.76569,-111.890976,630723,84070,1.0,1.0,3,2,1,2018,13.0,15.0,7.824,2018-1-3,2
100,144179,1,FLEET / SLC FACILITIES,522,2018-01-03 13:00:47,2018-01-04 07:34:43,0 days 18:33:56.000000000,0 days 02:37:34.000000000,10.088,Plug Out at Vehicle,Level 2,Salt Lake City,40.75592,-111.8834,6569V,,9.25,1.25,3,2,1,2018,13.0,7.0,1.0905945945945945,2018-1-3,2
95,186415,2,RMP NTO OFFICE / NTO WEST LOT 3,429,2018-01-03 11:55:38,2018-01-03 12:19:02,0 days 00:23:22.000000000,0 days 00:23:15.000000000,1.7619999999999998,Plug Out at Vehicle,Level 2,Salt Lake City,40.771267,-111.932449,679849,84025,0.25,0.25,3,2,1,2018,11.0,12.0,7.047999999999999,2018-1-3,2
98,167437,2,PUBLIC USE / 300 SOUTH,1515008449,2018-01-03 12:40:56,2018-01-03 14:19:18,0 days 01:38:24.000000000,0 days 01:15:13.000000000,6.494,Plug Out at Vehicle,Level 2,Salt Lake City,40.762943,-111.889496,,,0.75,0.75,3,2,1,2018,12.0,14.0,8.658666666666667,2018-1-3,2
97,153363,1A,RMP NTO OFFICE / NTO WEST LOT FC,1515007942,2018-01-03 12:32:33,2018-01-03 13:20:33,0 days 00:47:59.000000000,0 days 00:47:36.000000000,9.574,CPS Server,DC Fast,Salt Lake City,40.771263,-111.93251000000001,782183,84096,0.5,0.5,3,2,1,2018,12.0,13.0,19.148,2018-1-3,2
96,210199,2,PACKSIZE / CLEAN AIR 6,92,2018-01-03 11:58:49,2018-01-03 16:47:39,0 days 04:48:50.000000000,0 days 02:19:40.000000000,6.145,Plug Out at Vehicle,Level 2,Salt Lake City,40.742577000000004,-111.981323,1087321,84096,2.5,1.25,3,2,1,2018,11.0,16.0,2.4579999999999997,2018-1-3,2
105,186285,2,RMP NTO OFFICE / NTO WEST LOT 1,437,2018-01-03 13:50:43,2018-01-03 14:14:52,0 days 00:24:08.000000000,0 days 00:24:00.000000000,1.29,Plug Out at Vehicle,Level 2,Salt Lake City,40.771259,-111.93231999999999,1211931,84124,0.25,0.25,3,2,1,2018,13.0,14.0,5.16,2018-1-3,2
99,210207,1,PACKSIZE / CLEAN AIR 9,76,2018-01-03 12:51:35,2018-01-03 16:54:33,0 days 04:02:57.000000000,0 days 00:58:54.000000000,2.7060000000000004,Plug Out at Vehicle,Level 2,Salt Lake City,40.742496,-111.98101799999999,1137391,84075,2.0,0.5,3,2,1,2018,12.0,16.0,1.3530000000000002,2018-1-3,2
106,182139,1,PUBLIC USE / SUGAR HOUSE,882,2018-01-03 14:15:26,2018-01-03 17:35:42,0 days 03:20:16.000000000,0 days 02:42:31.000000000,7.648,Plug Out at Vehicle,Level 2,Salt Lake City,40.723351,-111.85875700000001,600925,84101,1.75,1.25,3,2,1,2018,14.0,17.0,4.370285714285714,2018-1-3,2
119,167713,1,PUBLIC USE / LIBERTY PARK,526,2018-01-03 19:59:04,2018-01-03 20:45:37,0 days 00:46:36.000000000,0 days 00:46:18.000000000,5.553,Plug Out at Vehicle,Level 2,Salt Lake City,40.746788,-111.87631200000001,658137,84102,0.5,0.5,3,2,1,2018,19.0,20.0,11.106,2018-1-3,2
108,182139,2,PUBLIC USE / SUGAR HOUSE,884,2018-01-03 14:34:43,2018-01-03 16:02:14,0 days 01:27:33.000000000,0 days 01:27:24.000000000,5.169,Plug Out at Vehicle,Level 2,Salt Lake City,40.723351,-111.85875700000001,,,0.75,0.75,3,2,1,2018,14.0,16.0,6.8919999999999995,2018-1-3,2
109,182105,1,PUBLIC USE / FAIRMONT PARK,272,2018-01-03 14:56:08,2018-01-03 18:27:49,0 days 03:31:45.000000000,0 days 03:31:14.000000000,12.630999999999998,Plug Out at Vehicle,Level 2,Salt Lake City,40.722263,-111.86178600000001,670885,84095,1.75,1.75,3,2,1,2018,14.0,18.0,7.217714285714285,2018-1-3,2
110,121747,2,FLEET / PSB-FIRE,922,2018-01-03 14:58:27,2018-01-04 09:11:56,0 days 18:13:29.000000000,0 days 00:55:03.000000000,3.071,Plug Out at Vehicle,Level 2,Salt Lake City,40.7589,-111.882011,6585V,,9.0,0.5,3,2,1,2018,14.0,9.0,0.34122222222222226,2018-1-3,2
111,121987,2,FLEET / PSB-FIRE 2,964,2018-01-03 15:03:48,2018-01-04 09:13:12,0 days 18:09:23.000000000,0 days 01:45:03.000000000,7.867000000000001,Customer,Level 2,Salt Lake City,40.758915,-111.882034,6583V,,9.0,1.0,3,2,1,2018,15.0,9.0,0.8741111111111112,2018-1-3,2
112,186285,2,RMP NTO OFFICE / NTO WEST LOT 1,438,2018-01-03 15:26:16,2018-01-03 16:41:34,0 days 01:15:21.000000000,0 days 01:15:07.000000000,7.237,Plug Out at Vehicle,Level 2,Salt Lake City,40.771259,-111.93231999999999,829009,84020,0.75,0.75,3,2,1,2018,15.0,16.0,9.649333333333333,2018-1-3,2
113,182105,2,PUBLIC USE / FAIRMONT PARK,1515019983,2018-01-03 15:53:11,2018-01-03 17:12:29,0 days 01:19:16.000000000,0 days 01:18:50.000000000,4.626,Plug Out at Vehicle,Level 2,Salt Lake City,40.722263,-111.86178600000001,1006051,84124,0.75,0.75,3,2,1,2018,15.0,17.0,6.168,2018-1-3,2
114,183643,2,RMP NTO OFFICE / NTO WEST LOT 2,415,2018-01-03 16:27:23,2018-01-03 18:20:11,0 days 01:52:49.000000000,0 days 01:52:36.000000000,11.079,Plug Out at Vehicle,Level 2,Salt Lake City,40.771263,-111.932381,679849,84025,1.0,1.0,3,2,1,2018,16.0,18.0,11.079,2018-1-3,2
115,121747,1,FLEET / PSB-FIRE,923,2018-01-03 16:30:31,2018-01-04 08:38:30,0 days 16:07:59.000000000,0 days 02:34:16.000000000,12.292,Plug Out at Vehicle,Level 2,Salt Lake City,40.7589,-111.882011,6581V,,8.0,1.25,3,2,1,2018,16.0,8.0,1.5365,2018-1-3,2
116,153363,1A,RMP NTO OFFICE / NTO WEST LOT FC,433,2018-01-03 17:01:31,2018-01-03 17:20:04,0 days 00:18:33.000000000,0 days 00:18:12.000000000,5.356,Plug Out at Station,DC Fast,Salt Lake City,40.771263,-111.93251000000001,450679,84115,0.25,0.25,3,2,1,2018,17.0,17.0,21.424,2018-1-3,2
117,182139,1,PUBLIC USE / SUGAR HOUSE,885,2018-01-03 17:49:22,2018-01-03 19:14:39,0 days 01:25:15.000000000,0 days 01:25:09.000000000,9.961,Plug Out at Vehicle,Level 2,Salt Lake City,40.723351,-111.85875700000001,1429571,84117,0.75,0.75,3,2,1,2018,17.0,19.0,13.281333333333334,2018-1-3,2
118,167437,1,PUBLIC USE / 300 SOUTH,1515030563,2018-01-03 18:49:53,2018-01-03 19:58:15,0 days 01:08:24.000000000,0 days 01:08:01.000000000,3.8539999999999996,Plug Out at Vehicle,Level 2,Salt Lake City,40.762943,-111.889496,814769,84065,0.5,0.5,3,2,1,2018,18.0,19.0,7.707999999999999,2018-1-3,2
120,167175,1,PUBLIC USE / PIONEER PARK,201,2018-01-03 23:07:05,2018-01-03 23:31:53,0 days 00:24:47.000000000,0 days 00:24:33.000000000,1.4709999999999999,Plug Out at Vehicle,Level 2,Salt Lake City,40.762714,-111.900902,670885,84095,0.25,0.25,3,2,1,2018,23.0,23.0,5.8839999999999995,2018-1-3,2
93,121987,2,FLEET / PSB-FIRE 2,963,2018-01-03 11:36:39,2018-01-03 12:41:59,0 days 01:05:17.000000000,0 days 01:05:11.000000000,6.367000000000001,Plug Out at Vehicle,Level 2,Salt Lake City,40.758915,-111.882034,6583V,,0.5,0.5,3,2,1,2018,11.0,12.0,12.734000000000002,2018-1-3,2
